Product_ID,Category_ID,Product_name,Description,Price,Stock_quantity,F_coupon_id,Product_upload_date
311,4,「味鰻」蒲燒鰻魚(2入組),宮崎縣從古至今都是養鰻的名地，新富在這當中更是有名。 許多職人在新富町發展養殖鰻魚的技術，因此新富町的鰻魚特別好吃。 來自養殖鰻魚歷史50年以上的「中村養鰻場」，出產的鰻魚油脂恰到好處，塗上特製醬汁以備長炭直火炭烤後，肉質厚實飽滿又柔嫩，更能品嘗到鰻魚的鮮味。,1980,21,31,2022/5/15
170,19,100%天然鮮奶,鮮奶製造必須經過殺菌處理，市售鮮奶多採用省時低成本的超高短時（UHT）製程，犧牲了營養價值，GREEN & SAFE 100％純鮮奶以高溫短時（HTST）殺菌處理，保留了生乳特有的免疫球蛋白和乳鐵蛋白，濃郁爽口無負擔。以有機肥栽培的盤古拉牧草、苜蓿芽草餵養，加上位於山坡地通風乾燥的養育環境，未經調整配方，乳香天然，讓鮮奶好喝來自自然健康的乳牛。 ＊本產品選用雪比牧場單一牧場生乳，經過HACCP驗證通過工廠生產，請安心食用。,110,46,31,2021/10/28
340,8,CAVIAR GIAVERI Beluga 貝魯迦鱘魚子醬,品嘗世界三大珍饈-鱘龍魚魚子醬 品種：Huso huso x Acipense baerii 產地：義大利北部 ◆秉持著傳統工法，為頂級餐桌提供優質的珍饈。 ◆魚卵顆粒尺寸達約3.0mm以上，粒粒圓潤飽滿，色澤為灰棕色，取自約15歲以上的鱘魚，這代表著優質和成熟。 ◆採用傳統薄鹽製法 “Malossol”，鹽度<3.5%，襯托魚子的鮮甜原味。 ◆風味彷彿絲綢般圓潤，質地細緻，風味濃郁，尾韻持久。每一口都是尊貴的享受。,2450,41,31,2021/3/9
339,8,KAVIARI 鱒魚卵,法國品牌 Kaviari有40年的歷史，以純淨湖水與優質食物養殖水產，是從原料品質都細細把關的專業品牌。 鱒魚卵的個頭雖然比鮭魚卵小，但是滋味卻更為鮮甜、濃脆。除了味覺的享受之外，也非常適合搭配軍艦壽司、白醬義大利麵或是作為菜餚的裝飾。無添加防腐劑及人工添加物，食用更安心。,380,2,31,2022/1/18
337,8,日本北海道冷凍干貝500g (2S),"每份500g，每份重量+-5%， 生鮮秤重產品略有差異， 本產品網頁照片因拍攝關係， 若與實體產品有差異， 以實體產品為主。 肉質Q 彈有勁、鮮甜美味，每一口都吃得到最新鮮的風味。通常以燒烤、乾煎、汆燙等方式烹調，能呈現特有的鮮甜味！ 建議烹調方式 : 香煎、清蒸
",1080,23,31,2022/1/12
258,7,日本近江A5和牛肋眼牛排,富饒的自然環境及琵琶湖之水所養育的和牛，日本滋賀縣有著環繞琵琶湖的群山所流出的純淨山泉水，近江牛就在自然的恩惠與畜牧者的愛之中培育而成。畜牧者以在地近江米的稻草等優質食材餵養，確保牛隻得到最佳營養。在滋賀縣，對人及環境皆友善的「循環系統」已然成形。 以最優質的環境與精湛的肥育技術培育而成的近江牛，肉質肥嫩，充滿甘甜與醇厚香氣，是人生中必定要品嘗過一次的牛肉。,2280,41,31,2021/10/27
178,15,日本青森大紅榮蘋果禮盒 (約8顆/約2.8kg/盒),蘋果界的鑽石，大紅榮蘋果又稱為「黑金剛富士」，是日本為台灣人口味量身打造的品種。以無套袋的方式栽種，藉由光合作用育成出漂亮的深紅色。果形又大又圓，華麗飽滿的色澤，象徵喜氣與好運。大紅榮蘋果的風味與富士蘋果相近，特色為脆度高且水份多，滋味香甜清爽，糖度高達13-14度，宛如蘋果界的鑽石。,1580,40,31,2023/6/9
176,15,日本青森冬戀蘋果 (約16~18粒/約5kg/箱),珍貴稀有的金蘋果，來自日本的冬戀蘋果，產期短、產量稀少，甜度極高且結蜜比例高，十分珍貴。冬戀蘋果的果皮呈少見的金黃色澤，果肉酸度低，散發馥郁的高雅香氣，蘋果蜜呈深黃色，橫切呈星型的漂亮蜜線，是視覺與味覺的極致饗宴。,4280,43,31,2021/7/26
181,15,日本青森蜜富士蘋果 (約8顆/約2.8kg/盒),陽光洗禮下的紅潤美肌，與富士蘋果為同一品種，在栽培時，特意摘除果實周圍的葉子，讓其充分受光，造就天然獨特的紅潤果色，並藉此提高甜度，再經過秋、冬兩季的冷鋒，形成結蜜狀，果香清雅、果肉甜而不膩、富含層次。 歷史悠久得天獨厚的蘋果之鄉，來自於日本蘋果之鄉青森，其本身地形多山，微氣候豐富，加上略為冷涼的溫帶氣候，特別適合蘋果生長，自二戰前就已經是日本主要蘋果產地，戰後更是積極改良許多蘋果品種，其中富士就是在青森縣選育出來的優良品種。在栽種上以草生栽培涵養土壤，營造田間豐富生態系，堅持熟度夠採收，孕育出果物最自然的甜美，全程空運來台，掌握運輸時間呈現最佳美味。,1280,48,31,2023/9/4
289,4,日本青魽片禮盒組,冬季美味之王-日本青魽，青魽又稱為「鰤魚」(??)，主要分布西北太平洋，包括日本日本海、關西地區、台灣附近海域。外觀最大特徵是貫穿頭尾的黃線。由於肉質甜美、脂膏豐腴，是日本料理中的頂級食材。每年12-1月是日本青魽最肥美也是最佳的品嘗時節，因此被譽為「冬季美味之王」。 【日本青魽片1500g，商品分切包裝：下巴1包、中段3-4包、尾段2包】,2980,48,31,2021/10/28
297,4,日本喜知次(大),1.被日本人視為最珍貴的魚類之一，與河豚、??並稱日本三大魚。 2.肉質細嫩，膠原蛋白豐富，非常鮮美。冬季脂肪豐富，是最佳品嘗時節 3.越新鮮體色越鮮紅，隨著上岸時間越長，體色會漸漸淡掉,1880,47,31,2023/6/9
180,15,日本黃金蜜柑 (約1~1.2kg/約12-15顆/禮盒),完美甜酸比，味蕾的冬日盛宴，日本蜜柑（???）又稱「一口柑」，以高甜度、無籽、皮薄多汁聞名，果實小巧可愛，色澤橙黃飽滿，果肉纖維柔軟細緻且擁有恰到好處的甜酸比例。每一口，彷彿都能感受到陽光灑在果肉上的溫暖，甜美滋味在舌尖綻放。,1380,36,31,2022/2/23
302,4,日曬熟成澎湖手釣透抽(大),澎湖夏日鮮透抽，專屬海洋美味的極致享受！即釣即處理：釣獲後立即在船上洗淨處理，確保絕佳鮮度。 一日曬熟成：透抽船上經陽光日曬熟成，釋放出獨特風味。 海風吹拂：澎湖的鹹鹹海風吹拂，賦予透抽特有的夏日滋味。 獨特口感升華，讓您感受極致美味！半乾濕風味：日曬一天後，透抽呈現半乾濕狀態，完美鎖住鮮甜風味。 彈性十足：保有彈性口感，每一口都散發著鮮嫩飽滿的口感。輕鬆烘烤：簡單烘烤，即可品味絕美滋味，為味蕾帶來無限驚喜。,680,14,31,2023/12/4
185,15,加州紅石榴 (約6粒/約2kg),美國加州得天獨厚，具備夏季炎熱，冬季涼爽，太陽光照射充足的乾旱氣候，最適合石榴成長，是全美最主要產區，所產石榴不僅果實大，口感佳！,720,17,31,2021/5/8
205,1,去殼綠竹筍,盛產於夏季的綠竹筍適合在雨量豐沛，氣侯溫和的環境生長，全成栽培不使用化學肥料及農藥，農友堅持要在清晨趕在陽光露臉前採收，馬上冷藏，鎖住筍子嫩甜，品質好的綠竹筍為白、彎、矮、肥，品嚐起來，香脆多汁且纖維細緻。,150,31,31,2021/8/12
273,7,台灣正黃牛牛腩,GREEN & SAFE特別嚴選來自嘉南區牧場的省產台灣牛，在自種牧草內添加當地特產「酒糟、地瓜」做為飼料，以補充優良蛋白質，無腥味且口感嫩而不柴。省產台灣牛採當天現宰到包裝全程冷凍保存，口感新鮮，甜度不流失，屠宰後經12 小時預冷，保有肉質天然彈性。 適 合：燉、煮,380,13,31,2021/3/24
